title,description,job_levels,languages,duration_minutes,test_type,url,remote_support,adaptive_support
Contact Center Sales & Service 8.0,the sales service 8.0 jfa is designed for contact center roles that involve sales or sales-related behaviors such as recommending products or services and retaining customers.,entry-level,"english international, english (usa)",31,"skills, behavioral, cognitive, personality",https://www.shl.com/products/product-catalog/view/contact-center-sales-and-service-8-0-4268/,Yes,No
Contact Center Manager - Short Form,"the contact center - manager solution is for mid to upper-level contact center managerial positions. sample tasks for these jobs include, but are not limited to: supervising and coordinating the activities of subordinates; interacting day-to-day with subordinates; and training employees. potential job titles that use this solution are: contact center team leader, first line supervisor, and contact center manager.","manager, supervisor, front line manager",english (usa),50,"ability, behavioral, personality, skills",https://www.shl.com/products/product-catalog/view/contact-center-manager-short-form/,Yes,Yes
Sales Support Specialist Solution,"the sales support specialist solution is for entry to mid-level sales support positions in which employees work primarily under the guidance of an account manager or operations manager in support of client accounts. sample tasks for these jobs include, but are not limited to: implementing customer orders, assisting with and coordinating activities, and utilizing processes to meet customer requirements. potential job titles that use this solution are: implementation specialist, project assistant, and sales support assistant. multiple configurations of this solution are available.",entry-level,english (usa),43,"ability, behavioral, personality",https://www.shl.com/products/product-catalog/view/sales-support-specialist-solution/,Yes,Yes
General Entry Level - All Industries 7.1 Solution,"our general entry level all industries 7.1 solution is designed for entry-level positions across industries. this solution predicts the following types of behaviors foundational to all jobs: being on-time to work; following rules and policies; treating others respectfully; producing quality work; meeting goals; and effectively working alongside others. solution can be used across all industries with entry-level positions. example titles include, but are not limited to: administrator, clerk, veterinary assistant, stocker, dish washer, office coordinator, tour guide, cook, assistant, housekeeper, waste collector. mcp product: please note that you will need to select the correct package depending on which norm you intend to use. the package available for this product is americas and international.",entry-level,"german, norwegian, finnish, french (canada), portuguese (brazil), latin american spanish, english (usa), english international, danish, swedish, french, italian",19,behavioral,https://www.shl.com/products/product-catalog/view/general-entry-level-all-industries-7-1-solution/,Yes,No
Healthcare Aide 7.0 Solution,"our healthcare aide 7.0 solution is designed for individually-oriented, entry-level positions that directly support another persons health and well-being. the solution covers a wide variety of positions, and assesses behaviors critical for patient support roles including: understanding and following detailed instructions; administering personal care; being respectful and tolerant of patients; preparing and maintaining records of patient progress and services performed; and working hard to meet or exceed patient needs. potential job titles that use this solution include: personal care aide, healthcare aide, home health aide, dental assistant. report language availability: english (usa), latin american spanish.",entry-level,"english (usa), french (canada), latin american spanish",22,behavioral,https://www.shl.com/products/product-catalog/view/healthcare-aide-7-0-solution/,Yes,No
Professional + 7.0 Solution,"our professional 7.0 solution is designed for all non-managerial professional individual contributor positions, and includes shls new innovative mobile-first ability assessment, verify interactive deductive reasoning. sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services. report language availability: english (usa).","mid-professional, professional individual contributor","english international, english (usa)",51,"ability, behavioral, cognitive",https://www.shl.com/products/product-catalog/view/professional-7-0-solution-3958/,Yes,Yes
Manager 7.0 Solution,"our manager 7.0 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees. sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees and customers problems. report language availability: english (usa), latin american spanish.","manager, front line manager","french (canada), latin american spanish, english international, english (usa)",35,"behavioral, cognitive",https://www.shl.com/products/product-catalog/view/manager-7-0-solution/,Yes,No
Industrial Professional and Skilled 7.1 Solution,"our industrial professional and skilled 7.1 solution is designed to measure the behaviors and experiences that underlie successful and safe performance in the workplace for specialized technical or professional industrial roles. this solution assesses mechanical comprehension and other foundational behaviors including: behaving safely and efficiently in the workplace; installing, repairing, and/or maintaining equipment and machinery; making sound mechanical decisions; maintaining an orderly work environment; and producing high quality and reliable work. important! please note that you will need to select the correct package depending on which norm you intend to use. the package available for this product is international and americas.",entry-level,"portuguese (brazil), swedish, english international, dutch, italian, french, english (usa), french (canada), norwegian, german",49,"ability, behavioral",https://www.shl.com/products/product-catalog/view/industrial-professional-and-skilled-7-1-solution/,Yes,No
Contact Center Sales & Service + 8.0,"the contact center 8.0 - sales service job focused assessment is designed to measure the skills, competencies, and behaviors needed for success in contact center roles that involve sales-related behaviors such as recommending products or services and retaining customers. this jfa includes a mobile-optimized contact center simulation, a behavioral assessment, and a cognitive test. together, these assessments capture the ability to provide exceptional customer service and drive sales in entry-level contact center roles.",entry-level,"english international, english (usa)",41,"personality, behavioral, cognitive, ability, skills",https://www.shl.com/products/product-catalog/view/contact-center-sales-and-service-8-0/,Yes,No
Apprentice + 8.0 Job Focused Assessment,"the apprentice 8.0 job-focused assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. this assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. it is intended to be used multi-nationally for organizations whose business spans across regions.","general population, graduate, entry-level","english international, german",30,"behavioral, personality",https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,Yes,No
